Age,Gender,Income,Credit_Score,Credit_History_Length,Number_of_Existing_Loans,Loan_Amount,Loan_Tenure,Existing_Customer,State,City,LTV_Ratio,Employment_Profile,Profile_Score,Occupation
31,Male,36000,604,487,5,109373,221,No,Karnataka,Mysuru,90.9434299616884,Salaried,77,Doctor
25,Male,50000,447,386,2,150000,89,No,Karnataka,Bengaluru,91.1352530416943,Salaried,43,Software Engineer
62,Other,178000,850,503,10,69099,110,Yes,Uttar Pradesh,Kanpur,40,Salaried,90,Banker
69,Female,46000,668,349,6,150000,148,Yes,Karnataka,Bengaluru,87.393365094782,Self-Employed,86,Contractor
52,Male,132000,601,553,5,150000,157,No,Karnataka,Mysuru,66.1587568939984,Salaried,90,Teacher
64,Female,127000,850,158,10,108702,111,Yes,Tamil Nadu,Coimbatore,82.3312500784866,Self-Employed,92,Contractor
29,Male,15000,378,89,1,26819,108,No,Uttar Pradesh,Lucknow,95,Self-Employed,25,Farmer
30,Other,82000,424,610,2,126550,92,No,West Bengal,Kolkata,93.6345768772485,Salaried,58,Banker
52,Male,119000,753,271,8,150000,251,Yes,Rajasthan,Jaipur,75.6441657929217,Freelancer,100,Writer
39,Male,101000,575,424,5,113257,12,No,Maharashtra,Nagpur,68.720556448595,Salaried,87,Banker
69,Male,166000,384,381,1,103472,14,No,Tamil Nadu,Coimbatore,95,Self-Employed,13,Shopkeeper
64,Male,167000,850,439,10,150000,102,Yes,Gujarat,Surat,41.9286868355083,Freelancer,100,Writer
68,Female,88000,554,186,4,150000,92,No,Telangana,Hyderabad,54.6960780760169,Freelancer,95,Photographer
19,Female,25000,350,227,0,30156,30,No,Tamil Nadu,Chennai,64.8345870396264,Student,49,Student
59,Female,60000,562,179,4,121454,60,No,Kerala,Thiruvananthapuram,95,Salaried,82,Civil Servant
26,Female,53000,547,18,4,137722,47,No,Rajasthan,Udaipur,95,Salaried,78,Civil Servant
57,Male,36000,821,409,9,88563,228,Yes,Karnataka,Mysuru,59.145870235821,Self-Employed,100,Contractor
42,Male,115000,502,302,3,107712,86,No,Rajasthan,Udaipur,64.5269482494787,Self-Employed,75,Contractor
34,Female,44000,300,441,0,95976,55,No,West Bengal,Kolkata,91.2048506444264,Salaried,15,Software Engineer
20,Female,57000,733,11,7,150000,285,Yes,West Bengal,Kolkata,40,Salaried,100,Teacher
69,Female,149000,505,522,3,113045,39,No,Delhi,New Delhi,62.6854735671003,Salaried,92,Teacher
56,Female,147000,839,275,9,120217,159,Yes,Maharashtra,Mumbai,82.5659176297035,Salaried,100,Civil Servant
37,Male,26000,631,287,6,116196,286,No,Rajasthan,Udaipur,56.337264201275,Self-Employed,98,Farmer
68,Female,68000,354,83,0,40661,63,No,Uttar Pradesh,Kanpur,70.8546099202296,Salaried,74,Software Engineer
52,Female,130000,495,189,3,145578,76,No,Maharashtra,Nagpur,79.848841348522,Salaried,88,Civil Servant
61,Female,41000,307,104,0,23296,99,No,Rajasthan,Udaipur,58.6866219997552,Unemployed,23,NA
39,Male,34000,590,605,5,150000,96,No,Kerala,Thiruvananthapuram,75.0635825588292,Salaried,100,Software Engineer
54,Male,116000,535,434,4,150000,47,No,Tamil Nadu,Chennai,57.3436867575508,Self-Employed,83,Contractor
52,Female,87000,697,26,7,141231,70,Yes,Delhi,New Delhi,94.6168093550734,Unemployed,58,NA
25,Female,37000,571,460,4,36315,93,No,Karnataka,Bengaluru,95,Self-Employed,79,Shopkeeper
24,Male,15000,463,24,2,10764,48,No,Uttar Pradesh,Lucknow,78.1671332031676,Self-Employed,49,Farmer
57,Female,130000,850,600,10,56891,195,Yes,Telangana,Hyderabad,40.4819832920951,Unemployed,96,NA
23,Female,32000,442,314,2,67958,83,No,Telangana,Hyderabad,77.542092310819,Freelancer,43,Independent Consultant
53,Male,33000,428,576,2,99179,56,No,Delhi,New Delhi,53.8361701595669,Unemployed,62,NA
40,Male,20000,446,48,2,67334,42,No,Delhi,New Delhi,50.1034304601001,Self-Employed,85,Farmer
67,Male,134000,850,219,10,150000,341,Yes,Tamil Nadu,Manjari,74.2268286610731,Salaried,90,Civil Servant
70,Male,82000,436,140,2,80718,14,No,Telangana,Hyderabad,87.413146675367,Salaried,52,Civil Servant
63,Female,72000,344,168,0,103424,30,No,Maharashtra,Mumbai,87.8775026695048,Salaried,46,Civil Servant
69,Male,47000,497,244,3,150000,16,No,West Bengal,Kolkata,52.4916917597065,Self-Employed,82,Farmer
28,Female,65000,482,85,3,58331,34,No,Telangana,Hyderabad,67.342583183098,Salaried,72,Teacher
63,Female,48000,565,375,4,50785,62,No,Rajasthan,Udaipur,53.8492255364752,Salaried,95,Teacher
18,Other,16000,329,436,0,12592,119,No,Telangana,Hyderabad,94.8025651664082,Unemployed,17,NA
26,Female,48000,300,349,0,127696,30,No,Uttar Pradesh,Lucknow,70.5275482947361,Unemployed,19,NA
34,Female,77000,326,160,0,93422,13,No,Tamil Nadu,Chennai,95,Salaried,19,Doctor
60,Female,132000,752,169,8,119937,336,Yes,Delhi,New Delhi,79.2772214825345,Salaried,100,Doctor
21,Female,44000,733,511,7,37592,322,Yes,Karnataka,Mysuru,85.75377416652,Freelancer,100,Writer
39,Male,110000,545,48,4,150000,89,No,Maharashtra,Nagpur,67.8432372456739,Self-Employed,78,Shopkeeper
56,Male,92000,763,573,8,147137,237,Yes,Karnataka,Dhulagori,58.796202297771,Salaried,94,Doctor
43,Female,90000,782,327,8,106491,331,Yes,Karnataka,Mysuru,56.6979802623532,Salaried,98,Civil Servant
67,Male,65000,528,462,4,150000,75,No,Delhi,New Delhi,87.3340846981832,Freelancer,44,Graphic Designer
64,Female,127000,649,473,6,150000,318,No,Telangana,Hyderabad,95,Salaried,100,Civil Servant
21,Female,46000,430,544,2,85243,98,No,Maharashtra,Nagpur,84.7670486536937,Self-Employed,29,Farmer
47,Male,28000,756,226,8,52918,130,Yes,Uttar Pradesh,Manjari,82.0887075748134,Self-Employed,100,Farmer
68,Other,70000,553,194,4,93269,103,No,Uttar Pradesh,Lucknow,74.1214221213645,Salaried,91,Software Engineer
54,Female,134000,713,303,7,133699,60,Yes,Delhi,New Delhi,45.7967061202976,Salaried,100,Doctor
28,Female,50000,645,60,6,150000,193,No,Karnataka,Mysuru,86.8316740588143,Freelancer,68,Photographer
55,Female,92000,648,227,6,115015,162,No,Tamil Nadu,Coimbatore,95,Salaried,100,Banker
65,Female,192000,850,406,10,150000,96,Yes,Maharashtra,Pune,75.2693970211052,Salaried,100,Software Engineer
18,Male,24000,519,462,3,45280,106,No,Delhi,New Delhi,84.006482734712,Salaried,85,Teacher
23,Male,63000,419,29,2,142381,84,No,Maharashtra,Mumbai,74.9995978828502,Self-Employed,42,Business Owner
20,Other,58000,722,250,7,82463,298,Yes,Kerala,Thiruvananthapuram,83.243235512878,Salaried,90,Civil Servant
